Id,Nombre,Descripción,URL_Imagen
1,"Tacos al Pastor","Tacos de cerdo marinado en achiote, cocidos en trompo con piña y cilantro.","https//comedera.com/wp-content/uploads/sites/9/2017/08/tacos-al-pastor-receta.jpg"
2,"Enchiladas Suizas","Tortillas rellenas de pollo bañadas en salsa verde y gratinadas con queso.","https//example.com/enchiladas-suizas.jpg"
3,"Mole Poblano","Pollo cubierto con una salsa espesa de chiles, chocolate y especias.","https//example.com/mole-poblano.jpg"
4,"Chiles en Nogada","Chiles poblanos rellenos de picadillo, cubiertos con salsa de nuez y granada.","https//example.com/chiles-nogada.jpg"
5,"Pizza Margherita","Pizza clásica con salsa de tomate, mozzarella y albahaca fresca.","https//assets.tmecosys.com/image/upload/t_web_rdp_recipe_584x480/img/recipe/ras/Assets/5802fab5-fdce-468a-a830-43e8001f5a72/Derivates/c00dc34a-e73d-42f0-a86e-e2fd967d33fe.jpg"
6,"Lasagna","Pasta en capas con carne, queso y salsa boloñesa, horneada al gratén.","https//example.com/lasagna.jpg"
7,"Risotto de Champiñones","Arroz cremoso cocinado con champiñones, vino blanco y queso parmesano.","https//example.com/risotto.jpg"
8,"Tiramisú","Postre italiano con capas de bizcocho, café, mascarpone y cacao.","https//example.com/tiramisu.jpg"
9,"Cheesecake de Fresa","Tarta de queso cremosa con cubierta de fresas frescas.","https//example.com/cheesecake-fresa.jpg"
10,"Brownie de Chocolate","Postre denso de chocolate con nueces, servido caliente.","https//example.com/brownie.jpg"
11,"Churros con Chocolate","Palitos de masa frita acompañados de chocolate caliente espeso.","https//7diasdesabor.com/wp-content/uploads/2022/05/churros-con-salsa-de-chocolate.jpg"
12,"Croissant de Mantequilla","Pan hojaldrado francés con aroma a mantequilla.","https//example.com/croissant.jpg"
13,"Bagel con Queso Crema","Pan en forma de anillo con queso crema y salmón ahumado.","https//example.com/bagel.jpg"
14,"Hamburguesa Clásica","Carne de res, queso, lechuga, tomate y salsa especial en pan suave.","https//example.com/hamburguesa-clasica.jpg"
15,"Hot Dogs","Jumbo hot dog con tocino, cebolla caramelizada y mostaza-miel.","https//example.com/hot-dogs.jpg"
16,"Alitas BBQ","Alitas de pollo bañadas en salsa barbacoa, servidas con apio y aderezo.","https//cdn7.kiwilimon.com/recetaimagen/33623/960x640/39037.jpg.jpg"
17,"Ensalada César","Lechuga romana, croutones, parmesano y aderezo cremoso.","https//example.com/ensalada-cesar.jpg"
18,"Bowl de Quinoa","Quinoa, aguacate, garbanzos, espinacas y aderezo de limón.","https//example.com/quinoa-bowl.jpg"
19,"Hummus con Pan Pita","Puré de garbanzos con tahini, ajo y aceite de oliva.","https//newmansown.com/wp-content/uploads/2022/07/Garlic-Hummus.jpg"
20,"Salmón a la Parrilla","Salmón con glaseado de miel y mostaza, acompañado de espárragos.","https//example.com/salmon-parrilla.jpg"
21,"Mojito","Cóctel refrescante con ron, menta, lima, azúcar y soda.","https//example.com/mojito.jpg"
22,"Margarita","Tequila, triple sec y jugo de lima con borde de sal.","https//example.com/margarita.jpg"
23,"Café Frappé","Café frío batido con hielo y leche, coronado con crema batida.","https//example.com/frappe.jpg"
24,"Agua de Jamaica","Bebida refrescante hecha con flor de jamaica, endulzada al gusto.","https//cdn7.kiwilimon.com/recetaimagen/31783/640x640/36556.jpg.jpg"
25,"Sushi Nigiri","Piezas de arroz con pescado fresco (salmón, atún o camarón).","https//example.com/sushi-nigiri.jpg"
26,"Pad Thai","Fideos de arroz salteados con camarones, huevo y cacahuates.","https//www.spicescave.com/blog/wp-content/uploads/2016/03/Pad_thai_700x500.jpg"
27,"Ramen Tonkotsu","Fideos en caldo de cerdo con huevo marinado y cerdo chashu.","https//example.com/ramen-tonkotsu.jpg"
